Category,Area-1975,Perc-1975,Area-2000,Perc-2000,Area-2013,Perc-2013
Forest,17468.0,24.14,15192.0,20.99,12884.0,17.8
Grassland,34300.0,47.400000000000006,36236.0,50.06999999999999,38556.0,53.28
Desert,216.0,0.29,216.0,0.29,204.0,0.28
Settlements,388.0,0.54,464.0,0.64,528.0,0.73
Agriculture,7624.0,10.540000000000001,8760.0,12.110000000000001,10840.0,14.97
Water Bodies,888.0,1.23,900.0,1.24,956.0,1.32
Degraded Forest,7124.0,9.84,6620.0,9.15,5284.0,7.3
