Category,Area-1975,Perc-1975,Area-2000,Perc-2000,Area-2013,Perc-2013
Forest,338016.0,6.85,293400.0,5.949999999999999,267560.0,5.42
Grassland,3330264.0,67.47,3063436.0,62.07,2798280.0,56.69
Desert,250084.0,5.06,285188.0,5.779999999999999,300004.0,6.08
Settlements,15172.0,0.31,24588.0,0.5,36412.0,0.74
Agriculture,543768.0,11.02,858884.0,17.41,1140724.0,23.12
Water Bodies,49880.0,1.01,48364.0,0.98,43652.0,0.88
Degraded Forest,168468.0,3.41,148984.0,3.02,139192.0,2.82
