Category,Area-1975,Perc-1975,Area-2000,Perc-2000,Area-2013,Perc-2013
Forest,9888.0,4.99,7256.0,3.6700000000000004,6392.0,3.23
Grassland,142860.0,72.26,143992.0,72.83000000000001,135432.0,68.5
Desert,1324.0,0.67,1340.0,0.67,1616.0,0.81
Settlements,532.0,0.27,844.0,0.43,1448.0,0.73
Agriculture,33664.0,17.030000000000005,34244.0,17.33,42916.0,21.71
Water Bodies,2864.0,1.45,3116.0,1.58,2548.0,1.29
Degraded Forest,0,0,0,0,0,0
